en	hu	la	pl	ja	zh	num	s	l	def	%comment
/-able	/-hato1	/-bilis	/-alni	_ -e-_	ke3- 可	21	e	G	gen allow {gen stem_ =agt}, "_-able" mark_ stem	%detestable
/-er	/-bb	/-ior//-ius	/-szy	_ yori _ _-i	bi3jiao4 比较	14	e	G	er_, =agt has quality, "_-er" mark_ stem_[quality], "than _" mark_ =pat, =pat has quality	%
/-er	/-o1	/-tor//-trix	/-ac1//-ic1	/-sha 者	/// -zhe3 者	3627	e	G	stem_-er is_a =agt, "_ -er" mark_ stem_	  %nomen agentis
/-est	leg-bb	/-issimus	naj-szyo	ichiban 一番 	zui4- 最	3625	e	G	er_ all   %	%
/-est	leg...bb	/-issimus	naj...szyo	ichiban _ 一番	zui4- 最	1513	e	G	er_ other   %	%
/-ing	/-a1s	/-endi	/-anie	_ koto		2	e	G	stem_-ing is_a event, "_-ing" mark_ stem_ 	%
/-ist	/-ista	/-tor//-trix	/-ista	/-ka 家	/// -zhu3yi4zhe3 主意者	29	e	G	person<profession>, think {stem_[important]}, "_-ist" mark_ stem_	%
/-ize	/-iza1l				/// -hua4 化	17	e	G	cause_ after({=pat has property, stem_ has property}), "_-ize" mark_ stem	%
/-th	/-ad	/-ias	/-ta	_ bun no _	/// -fen1zhi1 分之	4	e	G	part, in whole, before(divide)	%
/-th	/-adik	/-imus	/-ty	_ban (me) 番目	di4- 第	5	e	G	position, in sequence	%
/=agt				ga が		3225	p	G	/=agt	% %
/=pat				o を		3376	p	G	/=pat	% %
acid	sav	acidum	kwas	san 酸	suān 酸	2064	e	N	substance, <burn>, has taste[sharp,sour], lack kind	%
act	tesz	ago	dzial1ac1	suru する	zuo4 做	2373	e	V	do	%
act	tett	factum	akt	kói 行為	xing2wei2 行为	2379	e	N	act/2373	%
action	cselekve1s	actio	dzial1anie	kódó 行動	xing2dong4 行动	399	u	N	person do	%
activity	teve1kenyse1g	industria	czynnos1c1	katsudó 活動	huo2dong4 活动	2383	e	N	act	%
add	hozza1ad	addo	dodawac1	kuwaeru 加える	jia1 加	1859	e	V	=agt cause_ {=pat in place}, "to/2743 _" mark_ place	%
after	uta1n	post	po	ato 後	zai4...zhi1hou4 在...之后	2533	c	G	follow, in order/2739	%
aggressive	agresszi1v	pugnax	agresywny	kógeki-teki 攻撃的	qin1lüe4de 侵略的	3338	e	A	angry, threaten, want [fight,attack,defeat]	%
agriculture	mezo3gazdasa1g	agricultura	rolnictwo	nógyó 農業	nong2ye4 农业	3603	e	N	practice, raise/1788 crop, raise/1788 animal	%
aim	ce1l	finis	cel	mokuteki 目的	mu4di4 目的	363	e	N	purpose	%
air	levego3	aer	powietrze	kúki 空気	kong1qi4 空气	1540	c	N	gas, life need, Earth has	%
alcohol	alkohol	alcohol	alkohol	sake 酒	jiu3jing1 酒精	158	e	N	liquid, <drink>, <cause_ person[drunk]>	%
all	mind	omnis	wszyscy	subete 全て	dou1 都	1695	u	N	gen, whole	%
allow	enged	sino	pozwolic1	yurusu 許す	yun3xu3 允许	670	e	V	=agt lack {=agt stop =pat}	%
amount	mennyise1g	numerus	ilos1c1	ryó 量	liang4 量	1666	u	N	quantity	%
anger	du2h	furor	gniew	ikari 怒り	fen4nu4 愤怒	488	c	N	feeling, bad, strong, aggressive	%
angry	haragos	iratus	zl1y	okotte 怒っている	fen4nu4de 愤怒的	999	u	A	anger	%
animal	a1llat	animal	zwierze1	dóbutsu 動物	dong4wu4 动物	78	u	N	live, move	%
area	teru2let	regio	teren	chi'iki 地域	di4qu1 地区	2366	e	N	place/2326, in country, <has border>	%
arm	kar	bracchium	ramie1	ude 腕	ge1bo 胳膊	1231	c	N	organ, long, human has body, body has, limb, hand at, wrist at, shoulder at	%
around	ko2re1	circum	dokol1a	mawari 周り(に)	zai4...zhou1wei2 在...周围	1388	u	D	at, =agt[round], "around _" mark_ =pat	%
artefact	ke1szi1tme1ny	arte_factum	artefakt	jinkóseihin 人工製品	ren2gong1zhi4pin3 人工制品	3141	u	N	object, human make	%
