#Mapping of Stanford dependency relations to 4lang edges.
#
#The line "rel TAB i,j" means the dependency relation rel(x,y) should convert
#to an arrow of color i pointing from x to y and an arrow of color j pointing
#from y to x. "-" means no arrow, "?" means undecided or ambiguous.
#
#Further TAB separated fields may specify binary relations that should hold
#between x and y, the order can be reversed with "!". E.g. HAS will trigger
#x HAS y, !HAS will trigger Y HAS X

acomp	0,-
advcl	?,-
advmod	0,-
agent	1,-
amod	0,-
appos	0,0
aux	-,-
auxpass	-,-

cc	-,-
#each coordinated element appears in its own relations

conj	-,-
conj_and	-,-
conj_as	-,-
conj_but	-,-
conj_if	-,-
conj_in	-,-
conj_less	-,-
conj_negcc	-,-
conj_nor	-,-
conj_of	-,-
conj_or	-,-
#each coordinated element appears in its own relations
conj_so	-,-
conj_whether	-,-

cop	-,-
#but will be necessary to disambiguate nsubj and csubj

csubj	1,0
#1,0 for copular sentences, 1,- otherwise (just like with nsubj)

csubjpass	2,-
dep	0,-

det	?,?
#Articles will probably trigger some direct action and not have their own nodes
#in the graph

discourse	-,-

dobj	2,-

expl	-,-
#We shouldn't have to do anything extra here if our theory is perfect, right?

iobj	?,?
#I guess we deny that these really exist.

mwe	-,-
#We should handle each of these uniquely

neg	0,-
#Mostly X -0-> "not". "no", "never", and "n't" are posptrocessed into "not"

nn	-,-
# "there is no intelligent noun compund analysis. This is likely to be fixed
# once the Penn Treebank represents the branching structure of NPs"
# Until then, this should trigger our own noun compound analysis
# Until we have that, do nothing

npadvmod	0,-

nsubj	1,0
# 1,0 for copular sentences, 1,- otherwise (just like with csubj)

nsubjpass	2,-
num	0,-

number	?,?
#Wouldn't load this on the machine framework

parataxis	?,?
#need to see more examples first, might be handled at the sentence tokenization
#level

#partmod	?,?
#(obsoleted by vmod)

pcomp	2,-
pobj	2,-

poss	-,-	!HAS
#x HAS y

possessive	-,-

preconj	-,-
predet	-,-
#These two can trigger something once we have quantification...

prep	-,-
prep_about	-,-
prep_after	-,-	AFTER
prep_around	-,-
prep_as	-,-
prep_between	-,-
prep_by	-,-
prep_during	-,-

#This'll be horribly wrong in some cases, e.g. "bread stays soft for several days"
prep_for	-,-	FOR
